Unnamed: 0,Hour,Boilers of group 130,Unnamed: 2,Unnamed: 3,Unnamed: 4,КА-9,Unnamed: 6,Unnamed: 7,Unnamed: 8,КА-10,Unnamed: 10,Unnamed: 11,Unnamed: 12,КА-11,Unnamed: 14,Unnamed: 15,Unnamed: 16,КА-12,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,0,0,Burnouts of conventional fuel,0,0,0,Burnouts of conventional fuel,0,0,0,Burnouts of conventional fuel,0,0,0,Burnouts of conventional fuel,0,0,0,Burnouts of conventional fuel,0,0,0
1,1,0,T yh,Sel res,suction cups,TOTAL,T yh,Sel res,suction cups,TOTAL,T yh,Sel res,suction cups,TOTAL,T yh,Sel res,suction cups,TOTAL,T yh,Sel res,suction cups,TOTAL
2,2,0,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h,rub/h
3,3,1,1 142,658,-512,1289,322,-232,-209,-118,650,278,-358,570,169,612,55,837,523,-28,-262,234
4,4,2,1 102,676,-522,1256,308,-216,-217,-126,648,283,-358,574,147,609,53,808,520,-31,-261,228
5,5,3,1 064,662,-510,1217,276,-303,-212,-239,647,358,-352,654,141,607,54,802,523,-17,-255,251
6,6,4,1 058,671,-500,1228,264,-328,-203,-266,651,385,-349,686,143,614,52,808,528,-13,-256,260
7,7,5,1 128,772,-501,1400,291,-311,-201,-222,651,473,-349,775,186,610,49,846,529,-12,-256,261
8,8,6,1 166,734,-501,1399,318,-333,-202,-217,647,456,-352,751,201,611,52,865,511,-26,-255,230
9,9,7,1 176,677,-503,1350,327,-340,-203,-216,649,405,-352,702,200,613,52,865,516,-22,-256,238
10,10,8,1141,675,-502,1314,315,-358,-203,-246,651,417,-349,719,174,616,51,841,515,-23,-256,236
11,11,9,1116,638,-494,1261,292,-401,-195,-304,657,417,-350,723,168,622,52,841,514,-23,-253,239
12,12,10,1229,775,-499,1505,337,-377,-194,-235,671,523,-353,841,221,629,49,899,531,-1,-250,281
13,13,11,1244,855,-504,1596,377,-338,-201,-163,674,563,-354,883,194,631,51,876,544,-2,-256,286
14,14,12,1317,924,-504,1736,399,-321,-201,-123,675,613,-354,934,242,632,50,925,535,1,-250,285
15,15,13,1321,918,-503,1735,402,-302,-200,-100,675,588,-354,909,243,632,51,926,540,4,-252,292
16,16,14,1300,840,-505,1635,397,-285,-200,-88,671,495,-353,813,232,630,48,911,561,13,-254,321
17,17,15,1298,827,-505,1620,399,-286,-200,-87,671,484,-353,802,228,629,48,906,565,14,-255,325
18,18,16,1311,823,-505,1628,404,-285,-200,-81,671,477,-353,795,236,631,48,914,566,15,-255,326
19,19,17,1328,809,-505,1632,420,-296,-199,-74,671,474,-353,792,236,631,48,915,566,15,-255,326
20,20,18,1299,812,-504,1607,410,-290,-200,-80,669,473,-353,789,220,629,49,898,564,14,-254,323
21,21,19,1282,809,-502,1589,376,-287,-200,-112,669,466,-353,783,236,631,51,918,566,15,-255,326
22,22,20,1311,814,-504,1621,418,-292,-199,-74,669,476,-353,792,224,630,48,902,565,14,-255,325
23,23,21,1287,803,-501,1589,407,-296,-199,-89,668,469,-353,784,212,630,51,893,562,13,-254,322
24,24,22,1288,752,-501,1538,413,-298,-200,-85,662,424,-351,734,212,626,50,889,559,12,-253,318
25,25,23,1329,730,-498,1561,436,-279,-199,-42,658,386,-350,693,236,623,51,910,555,11,-252,314
26,26,24,1366,714,-510,1569,461,-272,-208,-20,659,365,-351,673,246,621,49,916,553,10,-252,311
27,27,per day,29602,18366,-12093,35874,8769,-7329,-4846,-3406,15884,10746,-8460,18170,4949,14948,1212,21109,13013,-46,-6 111,6856
